target_cv,n,rmse_full,rmse_reduced,rmse_lrt,rmse_aic,rmse_bic,selred_lrt,selred_aic,selred_bic
0.0,100,9.260724327973241,10.065740450172893,9.988050414065997,9.96257116514817,10.065740450172893,0.9295774647887324,0.8953722334004024,1.0
0.0,500,4.578925984612443,4.654627753381313,4.6551081443796365,4.651962149060495,4.654627753381313,0.946,0.912,1.0
0.0,1000,2.9596791192761733,2.995342701790602,2.9892727912079047,2.986314145464912,2.995342701790602,0.9378757515030061,0.8957915831663327,1.0
0.02,100,9.292235488052448,9.80427151054439,9.83276818400868,9.78771211155655,9.821212069584567,0.9154929577464789,0.8571428571428571,0.9959758551307847
0.02,500,4.226870275454911,4.279826251333678,4.27115073017565,4.2650885537109895,4.279826251333678,0.9398797595190381,0.8957915831663327,1.0
0.02,1000,2.949815798433255,2.978346045581357,2.980530829273759,2.9656649653448053,2.978346045581357,0.9317269076305221,0.8835341365461847,1.0
0.04,100,9.331995222532626,10.101790869073685,10.085845641742171,10.052300153716159,10.101790869073685,0.9478957915831663,0.8857715430861723,1.0
0.04,500,4.113788132398829,4.166579944813644,4.169568740085931,4.164600616486062,4.166579944813644,0.9236947791164659,0.8634538152610441,1.0
0.04,1000,3.0332690362873054,3.033583408074039,3.0624744673829216,3.055661885094673,3.033583408074039,0.8857715430861723,0.7935871743486974,1.0
0.06,100,8.77504033726106,9.542963047073414,9.401341758257292,9.375216723128856,9.533501998337766,0.9375,0.8830645161290323,0.9939516129032258
0.06,500,4.254880437096286,4.369645650581207,4.35614086573429,4.319789283962798,4.369645650581207,0.862,0.76,1.0
0.06,1000,2.9461906883464297,3.00903280511844,2.9939574653605128,2.9848667623086076,3.00903280511844,0.77,0.66,1.0
0.08,100,9.310793889202191,10.325192984418601,10.168883944547892,10.081852123649258,10.233687514301526,0.8977955911823647,0.8336673346693386,0.9919839679358717
0.08,500,4.229366098380244,4.309538991864165,4.324203805181594,4.274132342181847,4.309538991864165,0.7615230460921844,0.6713426853707415,1.0
0.08,1000,3.1487998510173227,3.226308259089251,3.20425060132645,3.1844629826968958,3.2342263729734233,0.544,0.43,0.994
0.1,100,9.476656041309745,10.41057279080803,10.288437888593142,10.186193751657017,10.425138060329967,0.8911290322580645,0.8225806451612904,0.9899193548387096
0.1,500,4.312935866349342,4.514240316284219,4.4084274462171775,4.3737276950603405,4.532169758675081,0.596,0.486,0.984
0.1,1000,2.9863991513250805,3.1505777292110424,3.024737334811133,3.0136278417025637,3.140865497044634,0.298,0.198,0.966
0.15,100,9.46754721798625,10.73280456471526,10.418471541096858,10.195272229708303,10.73499742814477,0.8336713995943205,0.7505070993914807,0.9898580121703854
0.15,500,4.447820794261545,4.918723609430456,4.510752906101519,4.494420331911066,4.8965820782420355,0.20641282565130262,0.15430861723446893,0.9178356713426854
0.15,1000,3.235126313608408,3.6269100242033314,3.2479411366854625,3.242940699173516,3.4402793816851225,0.014028056112224449,0.01002004008016032,0.5711422845691383
0.2,100,9.857944985095552,12.837599769777599,11.599737965824486,11.11542399463206,12.203703342313723,0.6532258064516129,0.5625,0.967741935483871
0.2,500,4.642737444740474,5.620107293762814,4.653802460222441,4.654048231319799,5.184350877154203,0.014112903225806451,0.008064516129032258,0.5141129032258065
0.2,1000,3.2841841392278277,4.39216259431669,3.2841841392278277,3.2841841392278277,3.396430054030544,0.0,0.0,0.08651911468812877
