"n","target_cv","actual_cv","maxmin_ratio","p","q","p_value","Lambda","loglik_F","loglik_R","aic_F","aic_R","bic_F","bic_R"
100,0,0,1,0.215,0.825,0.574938606452825,2.89858068245621,-653.060369749954,-654.509660091182,1326.12073949991,1321.01932018236,1352.17244135979,1336.65034129829
100,0,0,1,0.215,0.825,0.576163069617821,2.89138623591725,-579.900592778536,-581.346285896495,1179.80118555707,1174.69257179299,1205.85288741695,1190.32359290892
100,0,0,1,0.215,0.825,0.912967626176201,0.978971706349967,-588.682213719825,-589.171699573,1197.36442743965,1190.343399146,1223.41612929953,1205.97442026193
100,0,0,1,0.215,0.825,0.524712689943687,3.20135146277721,-620.125881699794,-621.726557431183,1260.25176339959,1255.45311486237,1286.30346525947,1271.08413597829
100,0,0,1,0.215,0.825,0.954435090135605,0.674507205510736,-652.270214027081,-652.607467629836,1324.54042805416,1317.21493525967,1350.59212991404,1332.8459563756
100,0,0,1,0.215,0.825,0.687437725985696,2.26341438103486,-619.141359030136,-620.273066220653,1258.28271806027,1252.54613244131,1284.33441992015,1268.17715355724
100,0,0,1,0.215,0.825,0.521199591735998,3.22315228380512,-636.532356599478,-638.143932741381,1293.06471319896,1288.28786548276,1319.11641505884,1303.91888659869
100,0,0,1,0.215,0.825,0.728931424929359,2.03712001832264,-612.454126661072,-613.472686670233,1244.90825332214,1238.94537334047,1270.95995518202,1254.57639445639
100,0,0,1,0.215,0.825,0.794490158539046,1.67921243087017,-626.71884972773,-627.558455943166,1273.43769945546,1267.11691188633,1299.48940131534,1282.74793300226
100,0,0,1,0.215,0.825,0.0259650710988635,11.0538830478861,-641.638933551795,-647.165875075738,1303.27786710359,1306.33175015148,1329.32956896347,1321.96277126741
100,0,0,1,0.215,0.825,0.730208629269687,2.03017544039949,-632.322830015914,-633.337917736114,1284.64566003183,1278.67583547223,1310.69736189171,1294.30685658816
100,0,0,1,0.215,0.825,0.172201822795482,6.38469878551996,-592.315669395122,-595.508018787882,1204.63133879024,1203.01603757576,1230.68304065012,1218.64705869169
100,0,0,1,0.215,0.825,0.509613672333082,3.29570107816403,-620.707877391996,-622.355727931078,1261.41575478399,1256.71145586216,1287.46745664387,1272.34247697808
100,0,0,1,0.215,0.825,0.323149286028018,4.66746763942342,-577.418769440571,-579.752503260283,1174.83753888114,1171.50500652057,1200.88924074102,1187.13602763649
100,0,0,1,0.215,0.825,0.763052461323102,1.85147501940742,-616.142996173884,-617.068733683587,1252.28599234777,1246.13746736717,1278.33769420765,1261.7684884831
100,0,0,1,0.215,0.825,0.513141047679193,3.27350522930578,-578.906536058397,-580.54328867305,1177.81307211679,1173.0865773461,1203.86477397668,1188.71759846203
100,0,0,1,0.215,0.825,0.626190865757519,2.60356987930231,-589.414669397552,-590.716454337203,1198.8293387951,1193.43290867441,1224.88104065498,1209.06392979033
100,0,0,1,0.215,0.825,0.497717859007491,3.37128309570244,-625.594128290119,-627.27976983797,1271.18825658024,1266.55953967594,1297.23995844012,1282.19056079187
100,0,0,1,0.215,0.825,0.298376065499083,4.89373210063241,-586.307181337343,-588.75404738766,1192.61436267469,1189.50809477532,1218.66606453457,1205.13911589125
100,0,0,1,0.215,0.825,0.934534578287087,0.828882347407443,-637.877181344477,-638.29162251818,1295.75436268895,1288.58324503636,1321.80606454883,1304.21426615229
100,0,0,1,0.215,0.825,0.171524004898009,6.39505556024437,-597.484428556525,-600.681956336647,1214.96885711305,1213.36391267329,1241.02055897293,1228.99493378922
100,0,0,1,0.215,0.825,0.0061915464535968,14.3742686611729,-636.235066909345,-643.422201239932,1292.47013381869,1298.84440247986,1318.52183567857,1314.47542359579
100,0,0,1,0.215,0.825,0.484889589195062,3.45411422371717,-643.063875781382,-644.790932893241,1306.12775156276,1301.58186578648,1332.17945342265,1317.21288690241
100,0,0,1,0.215,0.825,0.948308816867234,0.724220313221394,-584.119500193608,-584.481610350219,1188.23900038722,1180.96322070044,1214.2907022471,1196.59424181637
100,0,0,1,0.215,0.825,0.461707350195348,3.60759897316348,-625.865905193868,-627.66970468045,1271.73181038774,1267.3394093609,1297.78351224762,1282.97043047683
100,0,0,1,0.215,0.825,0.586902714076839,2.82861910889892,-623.435263463562,-624.849573018012,1266.87052692712,1261.69914603602,1292.92222878701,1277.33016715195
100,0,0,1,0.215,0.825,0.503156642208917,3.33658498774139,-591.026138004186,-592.694430498056,1202.05227600837,1197.38886099611,1228.10397786825,1213.01988211204
100,0,0,1,0.215,0.825,0.678257276176075,2.31380225693988,-623.918489906532,-625.075391035002,1267.83697981306,1262.15078207,1293.88868167295,1277.78180318593
100,0,0,1,0.215,0.825,0.865955582192292,1.27290475154405,-650.212277170195,-650.848729545967,1320.42455434039,1313.69745909193,1346.47625620027,1329.32848020786
100,0,0,1,0.215,0.825,0.839446766608374,1.42724147576223,-610.390041730283,-611.103662468164,1240.78008346057,1234.20732493633,1266.83178532045,1249.83834605226
100,0,0,1,0.215,0.825,0.111745483815007,7.49917938723661,-587.424574103781,-591.1741637974,1194.84914820756,1194.3483275948,1220.90085006744,1209.97934871073
100,0,0,1,0.215,0.825,0.208372447223734,5.87895175448534,-612.233828739443,-615.173304616686,1244.46765747889,1242.34660923337,1270.51935933877,1257.9776303493
100,0,0,1,0.215,0.825,0.835630476739653,1.44902823202756,-647.080409694638,-647.804923810652,1314.16081938928,1307.6098476213,1340.21252124916,1323.24086873723
100,0,0,1,0.215,0.825,0.198636246471525,6.00686407289959,-639.932419132483,-642.935851168932,1299.86483826497,1297.87170233786,1325.91654012485,1313.50272345379
