"n","pmask","q","p.value","Lambda","loglik.F","loglik.R"
50,0.215,0.825,0.00727349528479352,14.0067651962003,-301.147781628066,-308.151164226167
60,0.215,0.825,0.129848068875793,7.1167023798597,-374.112475965723,-377.670827155653
70,0.215,0.825,0.372779016502296,4.25354002001097,-401.562553814101,-403.689323824106
80,0.215,0.825,0.0915225873889688,8.00151845340372,-479.644003952671,-483.644763179373
90,0.215,0.825,0.868524071861418,1.25761825898257,-544.482155504246,-545.110964633737
100,0.215,0.825,0.275837018679545,5.11361770593408,-617.475166852129,-620.031975705096
50,0.215,0.825,0.226791066505657,5.65077057682254,-258.025200552929,-260.850585841341
60,0.215,0.825,0.944431070677878,0.754582735896292,-384.007916091878,-384.385207459826
70,0.215,0.825,0.0361187919841347,10.2698854807005,-436.312119030472,-441.447061770822
80,0.215,0.825,0.142295643897381,6.88129780225745,-476.47366049034,-479.914309391468
90,0.215,0.825,0.755644326794002,1.89183734073549,-530.616053975207,-531.561972645575
100,0.215,0.825,0.98503241271651,0.367733112891074,-633.364791877201,-633.548658433647
50,0.215,0.825,0.0103649453161858,13.1941825061995,-319.34446377864,-325.941555031739
60,0.215,0.825,0.537646643082138,3.12184098695786,-345.268287970032,-346.829208463511
70,0.215,0.825,0.25070463712757,5.37754781010585,-445.811820390114,-448.500594295167
80,0.215,0.825,0.256143607034635,5.31856944942751,-488.718679684499,-491.377964409213
90,0.215,0.825,0.882803302675808,1.17128527853652,-539.059166862738,-539.644809502007
100,0.215,0.825,0.195042983704647,6.05548196898599,-606.833654794174,-609.861395778667
50,0.215,0.825,0.410725221350699,3.96527898796739,-299.270115102424,-301.252754596408
60,0.215,0.825,0.0479043346374408,9.59131672920068,-377.776385665283,-382.572044029883
70,0.215,0.825,0.64148683120561,2.51760115589298,-423.88209071137,-425.140891289316
80,0.215,0.825,0.172790410523233,6.37573519259661,-480.632284197301,-483.820151793599
90,0.215,0.825,0.246246512705314,5.42671805055102,-552.689280105065,-555.402639130341
100,0.215,0.825,0.502248511479521,3.34236179447953,-626.192389322325,-627.863570219565
50,0.215,0.825,0.128715583873926,7.13913793503377,-313.391063830443,-316.96063279796
60,0.215,0.825,0.799593001748098,1.65102808757479,-347.690692207285,-348.516206251073
70,0.215,0.825,0.202024159649314,5.96173565939762,-443.531281987234,-446.512149816932
80,0.215,0.825,0.174160347135984,6.354978571076,-497.656516800499,-500.834006086037
90,0.215,0.825,0.223673928974216,5.68821477901315,-524.809413940755,-527.653521330262
100,0.215,0.825,0.754097676151062,1.90025758798788,-570.697242571789,-571.647371365783
50,0.215,0.825,0.850412774622608,1.36408381099682,-298.49173681184,-299.173778717338
60,0.215,0.825,0.196617509815075,6.03408086569186,-362.994369289531,-366.011409722377
70,0.215,0.825,0.974478003820891,0.489886790689638,-429.335287246864,-429.580230642209
80,0.215,0.825,0.208755438988415,5.87402914884296,-486.793690527787,-489.730705102208
90,0.215,0.825,0.165586565254366,6.48739136066979,-565.327776810144,-568.571472490479
100,0.215,0.825,0.535727626581103,3.13356524729397,-584.271747726781,-585.838530350428
50,0.215,0.825,0.753476777018256,1.90363734306595,-313.699173471589,-314.650992143122
60,0.215,0.825,0.772230431420055,1.80137689935736,-339.842207116144,-340.742895565823
70,0.215,0.825,0.952462249518247,0.690770181249036,-429.67846162889,-430.023846719515
80,0.215,0.825,0.281813156614073,5.0538845565743,-487.376873849998,-489.903816128285
90,0.215,0.825,0.872881112800638,1.23152707952863,-530.440135456418,-531.055898996182
100,0.215,0.825,0.897773044616725,1.07783342420635,-597.055260240385,-597.594176952488
50,0.215,0.825,0.629022192564165,2.58759493497405,-313.304089922112,-314.597887389599
60,0.215,0.825,0.0789843941742369,8.36820306557036,-379.654222476398,-383.838324009184
70,0.215,0.825,0.931733874306748,0.849194096404517,-427.947273412744,-428.371870460946
80,0.215,0.825,0.815389214305402,1.56320708050418,-498.381961279732,-499.163564819984
90,0.215,0.825,0.433888742344642,3.79901660819223,-512.233692272703,-514.133200576799
100,0.215,0.825,0.750453475073262,1.92009022008824,-641.404844605493,-642.364889715537
50,0.215,0.825,0.125976067669394,7.19417188167029,-270.895786471,-274.492872411835
60,0.215,0.825,0.399782680830025,4.04625072333545,-359.845676155936,-361.868801517603
70,0.215,0.825,0.264218842785097,5.23295653446803,-392.894971167242,-395.511449434476
80,0.215,0.825,0.337231562873548,4.54511426189458,-484.517154630333,-486.789711761281
90,0.215,0.825,0.65435937205165,2.44584082460324,-579.05026957285,-580.273189985152
100,0.215,0.825,0.917754804751344,0.946785536862535,-615.590000253595,-616.063393022026
50,0.215,0.825,0.933782661857323,0.834363706110366,-288.462693778735,-288.87987563179
60,0.215,0.825,0.174218414902134,6.35410201064292,-330.788992236273,-333.966043241595
70,0.215,0.825,0.813528653776023,1.57360200119933,-404.040450343077,-404.827251343676
80,0.215,0.825,0.150978728289157,6.72801399053105,-495.957292305654,-499.32129930092
90,0.215,0.825,0.927688482604111,0.878050592166119,-539.769315497931,-540.208340794014
100,0.215,0.825,2.00183657536339e-05,26.9849821532064,-583.938652828643,-597.431143905246
50,0.215,0.825,0.782569994911822,1.74476969739419,-298.91972263525,-299.792107483947
60,0.215,0.825,0.244776461482102,5.44310036979266,-365.621005991482,-368.342556176378
70,0.215,0.825,0.736172425793447,1.99775174423235,-428.495349166788,-429.494225038904
80,0.215,0.825,0.0551006723557666,9.25198071276805,-488.842539920981,-493.468530277365
90,0.215,0.825,0.805665902000215,1.61737535862881,-564.948669232652,-565.757356911967
100,0.215,0.825,0.256667267871548,5.31294801521585,-604.797610803004,-607.454084810612
50,0.215,0.825,0.96438764619247,0.588001220704314,-283.922264552308,-284.216265162661
60,0.215,0.825,0.512563267379219,3.27713430209326,-377.710761008583,-379.349328159629
70,0.215,0.825,0.861033542103873,1.30201513083603,-380.928572843768,-381.579580409186
80,0.215,0.825,0.303194234720145,4.84853986010853,-460.398819876321,-462.823089806376
90,0.215,0.825,0.900964359710843,1.05744209610134,-521.654055389123,-522.182776437174
100,0.215,0.825,0.979796218846822,0.431746069755945,-644.851971835649,-645.067844870527
50,0.215,0.825,0.304529943582887,4.83611716848543,-300.033814439638,-302.451873023881
60,0.215,0.825,0.422872079284286,3.8772571049559,-367.682460466323,-369.621089018801
70,0.215,0.825,0.26767305023823,5.1970168866826,-426.195330567747,-428.793839011089
80,0.215,0.825,0.374961957167541,4.23636060060073,-490.153402659901,-492.271582960202
90,0.215,0.825,0.501424619843147,3.3476085425782,-577.801603381792,-579.475407653081
100,0.215,0.825,0.00283234298415082,16.1436487793164,-620.844982620834,-628.916807010493
50,0.215,0.825,0.739557681848403,1.97934721571789,-291.361844377789,-292.351517985648
60,0.215,0.825,0.345112917247565,4.47842894581242,-391.271726832758,-393.510941305664
70,0.215,0.825,0.72808975116968,2.0416967091312,-425.411788975728,-426.432637330294
80,0.215,0.825,0.0957353570209357,7.88885820090729,-507.101554614949,-511.045983715402
90,0.215,0.825,0.420821552799462,3.89198400826763,-570.147955846717,-572.093947850851
100,0.215,0.825,0.591100496282892,2.80424312604464,-643.993921127878,-645.3960426909
50,0.215,0.825,0.649493812311789,2.47290635617014,-296.728695850391,-297.965149028476
60,0.215,0.825,0.598049913486093,2.76407422449336,-391.408821063699,-392.790858175946
70,0.215,0.825,0.674179167217852,2.33623929195096,-426.1492771308,-427.317396776776
80,0.215,0.825,0.292041028196946,4.95408655865469,-474.149794342151,-476.626837621478
90,0.215,0.825,0.467562513572405,3.56834631730135,-547.384082017875,-549.168255176526
100,0.215,0.825,0.411461352007806,3.9598900813744,-618.591083361402,-620.571028402089
50,0.215,0.825,0.153925526341188,6.67781883881992,-322.458925557919,-325.797834977329
60,0.215,0.825,0.672811241862482,2.3437733933265,-385.047571163635,-386.219457860298
70,0.215,0.825,0.470217236505188,3.55066045265846,-432.463275638019,-434.238605864348
80,0.215,0.825,0.592502298495167,2.79612207139087,-495.417131950103,-496.815192985798
90,0.215,0.825,0.869324586266222,1.25283993155404,-580.971225648435,-581.597645614212
100,0.215,0.825,0.999134541064823,0.0843850401429336,-597.452057828568,-597.49425034864
50,0.215,0.825,0.155927657182446,6.64421173659116,-294.578841750366,-297.900947618661
60,0.215,0.825,0.361432379640159,4.34412446565159,-392.091855590576,-394.263917823402
70,0.215,0.825,0.653117041729574,2.4527450297345,-434.208341386292,-435.43471390116
80,0.215,0.825,0.694243475302073,2.22615677200076,-498.294182526459,-499.407260912459
90,0.215,0.825,0.535886450884845,3.1325939657977,-531.525925309188,-533.092222292087
100,0.215,0.825,0.511850071879643,3.2816174682182,-641.163294889417,-642.804103623526
50,0.215,0.825,0.0834960739771519,8.23033080401513,-314.332453706088,-318.447619108095
60,0.215,0.825,0.125006651386071,7.21391114994776,-341.616830865255,-345.223786440228
70,0.215,0.825,0.192147473153121,6.09524309853066,-411.497218080365,-414.54483962963
80,0.215,0.825,0.47695373575827,3.50608483217638,-473.58649641032,-475.339538826409
90,0.215,0.825,0.0595523992819366,9.06265264348781,-557.431034973605,-561.962361295349
100,0.215,0.825,0.00175431035035068,17.2166151136316,-600.674166130118,-609.282473686933
50,0.215,0.825,0.947464738551663,0.730897030374308,-309.558743054394,-309.924191569581
60,0.215,0.825,0.744476274350295,1.9526028539342,-399.241549686739,-400.217851113706
70,0.215,0.825,0.206154196104512,5.90762143601125,-445.560428062366,-448.514238780372
80,0.215,0.825,0.630667007110066,2.57832787085283,-478.059599210209,-479.348763145635
90,0.215,0.825,0.251393473204335,5.37001776100828,-554.126569285056,-556.81157816556
100,0.215,0.825,0.886701092854274,1.1472731269896,-604.824085284976,-605.39772184847
50,0.215,0.825,0.278327639652896,5.08859158221549,-285.140098457037,-287.684394248145
60,0.215,0.825,0.802947156925261,1.63245687771723,-358.647953097756,-359.464181536615
70,0.215,0.825,0.0430887657733853,9.84680861215622,-445.531927152838,-450.455331458916
80,0.215,0.825,0.0879927155435517,8.09972440406659,-475.760279617159,-479.810141819193
90,0.215,0.825,0.233092015583356,5.57643521343562,-546.689455641684,-549.477673248402
100,0.215,0.825,0.0477605838799356,9.59858019562648,-611.855474676232,-616.654764774045
50,0.215,0.825,0.551206725362971,3.03968253830806,-306.600659549624,-308.120500818778
60,0.215,0.825,0.168283365497381,6.44508750491684,-377.483793426584,-380.706337179042
70,0.215,0.825,0.296722835917389,4.90937863892088,-439.91257028051,-442.367259599971
80,0.215,0.825,0.421540928483789,3.88681145015664,-497.911327411572,-499.85473313665
90,0.215,0.825,0.260388851248417,5.27327823988003,-539.799826260017,-542.436465379957
100,0.215,0.825,0.526441574876599,3.19065544039813,-583.612965553071,-585.20829327327
50,0.215,0.825,0.0584266888184123,9.10922172404435,-328.874431576111,-333.429042438134
60,0.215,0.825,0.755438993446617,1.89295532587141,-398.272178831145,-399.21865649408
70,0.215,0.825,0.998030502121894,0.12822693533542,-418.772944912805,-418.837058380473
80,0.215,0.825,0.698219698999352,2.204422452931,-499.818069813416,-500.920281039881
90,0.215,0.825,0.79209910570713,1.69239229447953,-568.405026056489,-569.251222203729
100,0.215,0.825,0.689116329858735,2.2542178653257,-664.925658074737,-666.0527670074
50,0.215,0.825,0.886919800915432,1.14591951408431,-269.602213530211,-270.175173287253
60,0.215,0.825,0.826260858813562,1.50214827787079,-367.368647640328,-368.119721779264
70,0.215,0.825,0.0046224127801182,15.0383114070694,-409.085387107281,-416.604542810815
80,0.215,0.825,0.300708030631667,4.87178415407914,-480.687951148655,-483.123843225694
90,0.215,0.825,0.0906822627439793,8.02457099822163,-516.561775921741,-520.574061420852
100,0.215,0.825,0.647232020378632,2.48551166056927,-633.230097864623,-634.472853694907
50,0.215,0.825,0.548484612322347,3.05608116707526,-325.440128054446,-326.968168637984
60,0.215,0.825,0.122185167154423,7.27217734771057,-355.358092239974,-358.994180913829
70,0.215,0.825,0.102175209039423,7.72529939683,-436.861424629384,-440.724074327799
80,0.215,0.825,0.0332572877798605,10.4668078250884,-534.788766847714,-540.022170760258
90,0.215,0.825,0.546641118149407,3.06721321402438,-533.062974261697,-534.59658086871
100,0.215,0.825,0.582843969494043,2.85227074302225,-630.567450385423,-631.993585756934
50,0.215,0.825,0.130048233014408,7.11275570227713,-327.501458132431,-331.057835983569
60,0.215,0.825,0.719523330845627,2.08829366434315,-352.429757266645,-353.473904098816
70,0.215,0.825,0.319237794570139,4.70222185467594,-456.142851635864,-458.493962563202
80,0.215,0.825,0.399534193711457,4.04810872154485,-518.712106970769,-520.736161331541
90,0.215,0.825,0.286558969500544,5.00720545240074,-556.11179271665,-558.61539544285
100,0.215,0.825,0.832101674714143,1.46909364413386,-616.365524633347,-617.100071455414
50,0.215,0.825,0.834311926957609,1.4565345018915,-298.619470451834,-299.34773770278
60,0.215,0.825,0.161067650337602,6.5596968058079,-388.039394728127,-391.319243131031
70,0.215,0.825,0.235580973229269,5.54755385294243,-466.601120444116,-469.374897370587
80,0.215,0.825,0.662228479458908,2.40220690094952,-500.688344085302,-501.889447535776
90,0.215,0.825,0.794151614943048,1.68107952693185,-529.653439733781,-530.493979497247
100,0.215,0.825,0.127880540824893,7.15579770543832,-597.468284271183,-601.046183123902
50,0.215,0.825,0.335238492903353,4.56217644891262,-314.201599787105,-316.482688011562
60,0.215,0.825,0.318154046484564,4.71191276425543,-377.602869841298,-379.958826223426
70,0.215,0.825,0.490648123532352,3.41675597624794,-431.191657304805,-432.900035292929
80,0.215,0.825,0.975573821634141,0.478352919039253,-469.394995524202,-469.634171983722
90,0.215,0.825,0.375820952980244,4.2296217470514,-554.68844017205,-556.803251045576
100,0.215,0.825,0.0261953894423679,11.0330219272162,-619.264972803759,-624.781483767367
50,0.215,0.825,0.804967726409576,1.62125081895704,-293.809465171828,-294.620090581307
60,0.215,0.825,0.539586172158081,3.11001644639316,-362.583447420388,-364.138455643585
70,0.215,0.825,0.870224992429525,1.24745719128919,-454.958811457545,-455.582540053189
80,0.215,0.825,0.900514385083253,1.06032834141001,-518.432307996373,-518.962472167078
90,0.215,0.825,0.809562848290531,1.59571071254504,-515.565598771814,-516.363454128086
100,0.215,0.825,0.905650205812097,1.0271590539005,-596.095161743611,-596.608741270561
50,0.215,0.825,0.994155530647211,0.224432726925784,-291.490369942783,-291.602586306246
60,0.215,0.825,0.0017498594933194,17.2222858623078,-359.53849200369,-368.149634934843
70,0.215,0.825,0.403613194203717,4.01771870958805,-451.85347606226,-453.862335417054
80,0.215,0.825,0.645528100717286,2.49501810157824,-499.312068779346,-500.559577830135
90,0.215,0.825,0.147477345444917,6.78883031504938,-578.507665297207,-581.902080454732
100,0.215,0.825,0.420886422351646,3.89151730719232,-563.504041963116,-565.449800616713
50,0.215,0.825,0.0912806803794374,8.00813425369154,-299.205988590689,-303.210055717534
60,0.215,0.825,0.00941804785612084,13.4145893766907,-384.399951626277,-391.107246314622
70,0.215,0.825,0.276445898630782,5.10748198217823,-438.048132228482,-440.601873219571
80,0.215,0.825,0.0358003080594624,10.2910451158067,-502.808767250274,-507.954289808177
90,0.215,0.825,0.448702452434525,3.69603789288226,-546.434040568452,-548.282059514894
100,0.215,0.825,0.110615740844335,7.52491296023436,-646.617880107602,-650.380336587719
50,0.215,0.825,0.952257291967564,0.692445297077825,-303.500836854941,-303.84705950348
60,0.215,0.825,0.0555523569938632,9.23211923130862,-359.411890567786,-364.02795018344
70,0.215,0.825,0.524345783364965,3.20362414859812,-414.069007433164,-415.670819507463
80,0.215,0.825,0.177150558509715,6.3101783765926,-487.226835357812,-490.381924546108
90,0.215,0.825,0.377007907362707,4.22032969567977,-545.092915958104,-547.203080805944
100,0.215,0.825,0.604437676769795,2.72734765758355,-593.31731366135,-594.680987490142
50,0.215,0.825,0.0210686271289745,11.5457989828747,-329.079334531045,-334.852234022482
60,0.215,0.825,0.63072729826971,2.57798836755137,-359.586771783228,-360.875765967003
70,0.215,0.825,0.490014835708739,3.42085019187914,-410.489129927524,-412.199555023464
80,0.215,0.825,0.728028105642106,2.04203192138709,-508.192318295246,-509.21333425594
90,0.215,0.825,0.0759789563734006,8.46422866702437,-561.286909645156,-565.519023978668
100,0.215,0.825,0.404247679884184,4.01301238065503,-611.587982764041,-613.594488954368
50,0.215,0.825,0.538774430230504,3.11496226976726,-301.008130509803,-302.565611644686
60,0.215,0.825,0.851468756250503,1.35795474938175,-365.974106707989,-366.65308408268
70,0.215,0.825,0.379598212957846,4.20012999695507,-418.168977369631,-420.269042368108
80,0.215,0.825,0.112707708252732,7.47745146075545,-500.188145288971,-503.926871019349
90,0.215,0.825,0.119915659878039,7.31995433143766,-550.178601360944,-553.838578526663
100,0.215,0.825,0.816169694067864,1.55884208087173,-579.813925853125,-580.593346893561
50,0.215,0.825,0.681366704089703,2.29671775237398,-273.1165401413,-274.264899017487
60,0.215,0.825,0.947082700730112,0.733906266163217,-379.212736457906,-379.579689590988
70,0.215,0.825,0.357219779843292,4.37832470850685,-442.222674224082,-444.411836578335
80,0.215,0.825,0.388665769642787,4.13024661679606,-500.136026277602,-502.201149586
90,0.215,0.825,0.85759764727291,1.32220133455507,-566.801005843312,-567.46210651059
100,0.215,0.825,0.468293388077646,3.56347036106422,-659.400973336582,-661.182708517114
50,0.215,0.825,0.481754911127567,3.47457419312877,-290.529107134255,-292.266394230819
60,0.215,0.825,0.243306353177517,5.45956865621952,-374.690131197421,-377.41991552553
70,0.215,0.825,0.0880167598571338,8.09904303999826,-436.686732843521,-440.73625436352
80,0.215,0.825,0.877398691286061,1.20424816353011,-490.541206043396,-491.143330125161
90,0.215,0.825,0.700222316623974,2.19348442300588,-528.577079505051,-529.673821716554
100,0.215,0.825,0.671368462650569,2.3517242809844,-627.593605200946,-628.769467341438
50,0.215,0.825,0.726916641615524,2.04807597925299,-295.544279039018,-296.568317028644
60,0.215,0.825,0.587748657765064,2.82369987401148,-351.100798342131,-352.512648279137
70,0.215,0.825,0.66754467792281,2.37281958380322,-447.412108764155,-448.598518556057
80,0.215,0.825,0.386222657759289,4.14895117740957,-481.846488883833,-483.920964472538
90,0.215,0.825,0.507412278673697,3.30960242313881,-589.029171346061,-590.683972557631
100,0.215,0.825,0.972505945196396,0.510144311482691,-584.297866877817,-584.552939033558
50,0.215,0.825,0.64294087921031,2.50946983335382,-300.185148057806,-301.439882974483
60,0.215,0.825,0.622591896934996,2.62391889178616,-354.08745760218,-355.399417048073
70,0.215,0.825,0.823233553623846,1.51920855149081,-422.506584488347,-423.266188764093
80,0.215,0.825,0.43264750997459,3.8077591490021,-480.3422021524,-482.246081726901
