"n","pmask","q","p.value","Lambda","loglik.F","loglik.R"
50,0.215,0.825,0.00727349528479352,14.0067651962003,-301.147781628066,-308.151164226167
60,0.215,0.825,0.129848068875793,7.1167023798597,-374.112475965723,-377.670827155653
70,0.215,0.825,0.372779016502296,4.25354002001097,-401.562553814101,-403.689323824106
80,0.215,0.825,0.0915225873889688,8.00151845340372,-479.644003952671,-483.644763179373
90,0.215,0.825,0.868524071861418,1.25761825898257,-544.482155504246,-545.110964633737
100,0.215,0.825,0.275837018679545,5.11361770593408,-617.475166852129,-620.031975705096
150,0.215,0.825,0.737230497109483,1.99199945126247,-914.879177332287,-915.875177057918
200,0.215,0.825,0.630527412824834,2.57911398465603,-1220.46626170149,-1221.75581869382
250,0.215,0.825,0.553846560364989,3.02382338060033,-1527.58225097098,-1529.09416266128
300,0.215,0.825,0.343801659924702,4.48943831662245,-1884.67944420728,-1886.92416336559
350,0.215,0.825,0.0301739150533596,10.698177539085,-2148.36403019274,-2153.71311896229
400,0.215,0.825,0.256505317917278,5.31468547551503,-2444.63448476156,-2447.29182749932
450,0.215,0.825,0.406127897893637,3.99909828076034,-2795.09371449065,-2797.09326363103
500,0.215,0.825,0.710561010777357,2.13709358716642,-2987.12371668935,-2988.19226348293
1000,0.215,0.825,0.613970895148034,2.67286656425313,-6310.15220646077,-6311.4886397429
2000,0.215,0.825,0.207808845662138,5.88621031372531,-12429.08645056,-12432.0295557169
4000,0.215,0.825,0.0671947600407812,8.76699688141525,-24841.3891867039,-24845.7726851446
5000,0.215,0.825,0.379392707220155,4.20172866679059,-30811.6848681259,-30813.7857324592
6000,0.215,0.825,0.567246605563435,2.94396197596507,-37072.9470315106,-37074.4190124986
7000,0.215,0.825,0.0112076254737047,13.0139926281554,-43272.9406390486,-43279.4476353626
8000,0.215,0.825,0.0554060394207867,9.23853620112641,-49385.7195856021,-49390.3388537026
50,0.215,0.825,0.341736527507901,4.50684570858004,-306.34172584158,-308.59514869587
60,0.215,0.825,0.291337903069636,4.96085257981667,-355.22681439011,-357.707240680019
70,0.215,0.825,0.174598692127457,6.348368043086,-408.549454284406,-411.723638305949
80,0.215,0.825,0.165981729852303,6.48115374536019,-514.597783534951,-517.838360407632
90,0.215,0.825,0.781140673133395,1.75260761663549,-569.70453147984,-570.580835288158
100,0.215,0.825,0.612782672297219,2.67963629967676,-621.323858262023,-622.663676411861
150,0.215,0.825,0.929258833203564,0.866913824694393,-895.708895335621,-896.142352247969
200,0.215,0.825,0.787957602624817,1.71518408520114,-1233.5340508049,-1234.3916428475
250,0.215,0.825,0.0862908531693018,8.14840137575129,-1564.88360984563,-1568.9578105335
300,0.215,0.825,0.162500189214518,6.53657841053882,-1890.81756118866,-1894.08585039393
350,0.215,0.825,0.408060998593122,3.98484310590175,-2185.23582024783,-2187.22824180078
400,0.215,0.825,0.474572406604558,3.52179307154984,-2446.20298677717,-2447.96388331294
450,0.215,0.825,0.439674755837689,3.75849957177434,-2785.27209020124,-2787.15133998713
500,0.215,0.825,0.515810938394148,3.25676860616568,-3057.42759406263,-3059.05597836571
1000,0.215,0.825,0.674535197168205,2.33427906418183,-6096.92463168527,-6098.09177121736
2000,0.215,0.825,0.09250293423618,7.97487416023068,-12367.442940296,-12371.4303773761
4000,0.215,0.825,0.297939906931815,4.89785297353956,-24835.8708631529,-24838.3197896397
5000,0.215,0.825,6.05501356821065e-05,24.5995737128105,-30927.3921114165,-30939.691898273
6000,0.215,0.825,0.104169717094778,7.67659302712127,-37202.1010791066,-37205.9393756202
7000,0.215,0.825,0.00132842826711491,17.8362448418338,-43534.1093352398,-43543.0274576607
8000,0.215,0.825,0.000897706384231602,18.7058756759507,-50055.8644443408,-50065.2173821788
50,0.215,0.825,0.966097477767797,0.572244272587909,-310.315607586649,-310.601729722943
60,0.215,0.825,0.399823589592647,4.04594492231161,-340.767624698031,-342.790597159186
70,0.215,0.825,0.280083856420627,5.07105846845968,-421.790498281924,-424.326027516154
80,0.215,0.825,0.932603798406893,0.842915508344618,-503.986189730912,-504.407647485084
90,0.215,0.825,0.031716428687852,10.579718311853,-577.456542398156,-582.746401554083
100,0.215,0.825,0.742899068937473,1.96117945959804,-635.894552818103,-636.875142547902
150,0.215,0.825,0.204007484562917,5.93562775961936,-928.067079659884,-931.034893539694
200,0.215,0.825,0.841265329213805,1.41682622021108,-1219.90941261827,-1220.61782572838
250,0.215,0.825,0.174416140619286,6.35111922002898,-1592.56595802342,-1595.74151763343
300,0.215,0.825,0.093777749879353,7.94061967858579,-1894.85601555589,-1898.82632539518
350,0.215,0.825,0.177613302678769,6.30330630811113,-2264.20227828565,-2267.35393143971
400,0.215,0.825,0.442119080199055,3.74149797639075,-2448.68307858425,-2450.55382757245
450,0.215,0.825,0.432349764917095,3.80985899638745,-2798.75022058716,-2800.65515008535
500,0.215,0.825,0.870307169061774,1.24696549516739,-3105.96268351934,-3106.58616626692
1000,0.215,0.825,0.485005359591019,3.45336028207566,-6072.97313341593,-6074.69981355697
2000,0.215,0.825,0.95512349313844,0.66877116705291,-12475.2031069612,-12475.5374925448
4000,0.215,0.825,0.414282120084292,3.93930659925536,-24521.9007391021,-24523.8703924017
5000,0.215,0.825,0.190839688056703,6.11337708844076,-31055.3767299444,-31058.4334184886
6000,0.215,0.825,0.912241837285553,0.983803803319461,-37179.2569872158,-37179.7488891175
7000,0.215,0.825,0.0727055487904036,8.57298513651767,-43574.2305065661,-43578.5169991344
8000,0.215,0.825,0.0164284415391326,12.1274237632606,-49744.275765423,-49750.3394773046
50,0.215,0.825,0.0116298088784882,12.9286355686467,-288.82233060745,-295.286648391773
60,0.215,0.825,0.685760002264205,2.27261099477607,-349.164270381611,-350.300575878999
70,0.215,0.825,0.378538468299898,4.20838114922424,-457.350782839235,-459.454973413847
80,0.215,0.825,0.130203374074411,7.10970060046577,-481.814688359208,-485.369538659441
90,0.215,0.825,0.103259770450433,7.69870528582055,-574.412965545312,-578.262318188222
100,0.215,0.825,0.995214290108522,0.202349773412834,-612.491560109968,-612.592734996674
150,0.215,0.825,0.0272917539788305,10.9360889909901,-1006.87792141784,-1012.34596591334
200,0.215,0.825,0.685093311297789,2.27626692978447,-1221.04492214791,-1222.1830556128
250,0.215,0.825,0.119030184738976,7.33882226543801,-1525.82599911921,-1529.49541025193
300,0.215,0.825,0.621386980674137,2.63074259046471,-1849.30183232514,-1850.61720362038
350,0.215,0.825,0.158039520875428,6.60918531558127,-2117.86484949759,-2121.16944215538
400,0.215,0.825,0.14813048353218,6.7773865408717,-2471.20233278726,-2474.59102605769
450,0.215,0.825,0.137955319293756,6.96115464947525,-2812.38041830937,-2815.86099563411
500,0.215,0.825,0.234022984711344,5.56560114007425,-3090.75756035762,-3093.54036092766
1000,0.215,0.825,0.0549687448949295,9.25781111721517,-6108.60671612989,-6113.2356216885
2000,0.215,0.825,0.00541863442734294,14.6776699189031,-12260.8500109785,-12268.188845938
4000,0.215,0.825,0.120642994103881,7.30455230252119,-24854.8833797972,-24858.5356559485
5000,0.215,0.825,0.179454676780298,6.27611915330635,-31022.2770620315,-31025.4151216082
6000,0.215,0.825,0.716944004030763,2.10233180862269,-37291.538543746,-37292.5897096503
7000,0.215,0.825,0.00842086512270231,13.6714754817367,-43098.3309034225,-43105.1666411634
8000,0.215,0.825,0.020100275757899,11.6561254758708,-49725.3341153485,-49731.1621780864
50,0.215,0.825,0.100426528357256,7.76873796524524,-318.455951257528,-322.340320240151
60,0.215,0.825,0.901046228697735,1.05691656996271,-397.551618072818,-398.080076357799
70,0.215,0.825,0.435297094321278,3.78911883535159,-408.615575284278,-410.510134701953
80,0.215,0.825,0.766078741505619,1.83496895657129,-488.474153826789,-489.391638305075
90,0.215,0.825,0.405508235895072,4.00367858789355,-571.805915076852,-573.807754370799
100,0.215,0.825,0.403840519070079,4.01603187703358,-605.035862154731,-607.043878093248
150,0.215,0.825,0.457592293958276,3.6353926476952,-911.19764983118,-913.015346155027
200,0.215,0.825,0.999213692039159,0.0803803125409104,-1244.15512194544,-1244.19531210171
250,0.215,0.825,0.178059285570792,6.29669837658003,-1531.8954508807,-1535.04380006899
300,0.215,0.825,0.0737002274535759,8.53945635027048,-1823.85243277299,-1828.12216094812
350,0.215,0.825,0.0532278837165513,9.33602237028663,-2131.28755291144,-2135.95556409659
400,0.215,0.825,0.417506828139409,3.91590254055609,-2483.7011440397,-2485.65909530998
450,0.215,0.825,0.904376975640761,1.03542948036738,-2842.34618964331,-2842.8639043835
500,0.215,0.825,0.611260826900278,2.68831530665739,-3162.46312774591,-3163.80728539924
1000,0.215,0.825,0.109242777525015,7.55651752199992,-6138.61283474343,-6142.39109350443
2000,0.215,0.825,0.269148719215142,5.18178353492112,-12355.6148633772,-12358.2057551446
4000,0.215,0.825,0.290711312038439,4.96689366297505,-24658.754897292,-24661.2383441234
5000,0.215,0.825,0.29457201605764,4.92984369258193,-31005.5831906323,-31008.0481124786
6000,0.215,0.825,0.0659047885848103,8.81458544457564,-37237.7656921837,-37242.172984906
7000,0.215,0.825,0.00155899641331396,17.4798977125756,-43327.5262745518,-43336.2662234081
8000,0.215,0.825,0.138820638953559,6.94505173215293,-49710.6134194535,-49714.0859453196
50,0.215,0.825,0.464685832890087,3.58758880560265,-316.450715243138,-318.24450964594
60,0.215,0.825,0.727134292010437,2.0468923806535,-366.712856311286,-367.736302501612
70,0.215,0.825,0.289674532868703,4.97691345274814,-429.130977324015,-431.619434050389
80,0.215,0.825,0.352854169729562,4.41410562580427,-492.108823933522,-494.315876746424
90,0.215,0.825,0.0210912890185215,11.5432764080713,-568.614658662053,-574.386296866089
100,0.215,0.825,0.8989183734317,1.07053602489009,-604.303118158631,-604.838386171076
150,0.215,0.825,0.858351707085741,1.31778026423331,-942.372115235941,-943.031005368058
200,0.215,0.825,0.368882521667081,4.28440072351623,-1256.55411294096,-1258.69631330272
250,0.215,0.825,0.0823288636768019,8.2653139469594,-1537.39411479996,-1541.52677177344
300,0.215,0.825,0.0892943991542569,8.06308652172675,-1867.91764310204,-1871.94918636291
350,0.215,0.825,0.504592925848519,3.32746210823916,-2170.31661307852,-2171.98034413264
400,0.215,0.825,0.491078072861367,3.41397832683469,-2469.53872207524,-2471.24571123865
450,0.215,0.825,0.725678924687559,2.05480709783751,-2797.80053911142,-2798.82794266034
500,0.215,0.825,0.763331253016856,1.84995489915309,-3004.46031945944,-3005.38529690902
1000,0.215,0.825,0.0603484432235782,9.03022421575952,-6211.90484285727,-6216.41995496515
2000,0.215,0.825,0.235156559382895,5.55245982035194,-12530.5198610544,-12533.2960909646
4000,0.215,0.825,0.0363929349890901,10.2518150612013,-24800.7540262632,-24805.8799337938
5000,0.215,0.825,0.0795486885606617,8.35055864652531,-31006.9743193743,-31011.1495986976
6000,0.215,0.825,0.157094836972818,6.62480050131853,-37196.4624873548,-37199.7748876055
7000,0.215,0.825,0.00588459948728559,14.490053608155,-43449.0746369865,-43456.3196637906
8000,0.215,0.825,0.0566374293594603,9.18502832626109,-49740.2485995906,-49744.8411137538
50,0.215,0.825,0.613414757347749,2.67603436173704,-317.528055711341,-318.86607289221
60,0.215,0.825,0.556874857458075,3.00568274405384,-359.679784815072,-361.182626187099
70,0.215,0.825,0.611247086543182,2.6883937110216,-450.053125961238,-451.397322816749
80,0.215,0.825,0.881289850584708,1.1805535702963,-509.119794422572,-509.71007120772
90,0.215,0.825,0.233805727278123,5.56812609204189,-568.865157432896,-571.649220478917
100,0.215,0.825,0.127474194006403,7.16394095035025,-614.441598969316,-618.023569444491
150,0.215,0.825,0.781644019934676,1.749847934949,-939.88250933426,-940.757433301735
200,0.215,0.825,0.135420136580839,7.00887174125137,-1214.22223434333,-1217.72667021395
250,0.215,0.825,0.396806775160062,4.06855998000856,-1605.40925326879,-1607.4435332588
300,0.215,0.825,0.623286882164206,2.61998556055823,-1859.57423138689,-1860.88422416717
350,0.215,0.825,0.321516944730104,4.68192919759076,-2132.68364768853,-2135.02461228733
400,0.215,0.825,0.675136382398585,2.33096968548489,-2423.78664450356,-2424.9521293463
450,0.215,0.825,0.799112549823158,1.65368520574702,-2766.47977279407,-2767.30661539695
500,0.215,0.825,0.0151065130275238,12.3226484228653,-3067.99603230776,-3074.1573565192
1000,0.215,0.825,0.639385498575119,2.52936426531051,-6154.15665023831,-6155.42133237096
2000,0.215,0.825,0.313031928496467,4.7580849176411,-12323.0861040678,-12325.4651465266
4000,0.215,0.825,0.118972765770689,7.34005024461658,-24577.2869015956,-24580.9569267179
5000,0.215,0.825,0.064715782689933,8.85923833459674,-30899.0071043666,-30903.4367235339
6000,0.215,0.825,0.406045991393316,3.99970340184518,-37388.2112535863,-37390.2111052872
7000,0.215,0.825,0.0734715692312767,8.54712596535683,-43152.1284335636,-43156.4019965463
8000,0.215,0.825,0.012472946138524,12.7668636767339,-49777.7844097366,-49784.167841575
50,0.215,0.825,0.077894463894702,8.40262225911113,-299.492275520553,-303.693586650108
60,0.215,0.825,0.214996855185525,5.79491175950034,-356.614084851651,-359.511540731401
70,0.215,0.825,0.164619836552229,6.50270801242311,-449.246880464152,-452.498234470364
80,0.215,0.825,0.575622403629238,2.89456198263792,-504.979475439161,-506.42675643048
90,0.215,0.825,0.2311312897267,5.59937690718243,-556.356376072692,-559.156064526283
100,0.215,0.825,0.659566092764167,2.41695119686915,-614.86111881765,-616.069594416084
150,0.215,0.825,0.0302277454367834,10.6939461415732,-892.887540680745,-898.234513751531
200,0.215,0.825,0.721186962367896,2.07924149693872,-1188.35001248792,-1189.38963323639
250,0.215,0.825,0.0849167126750116,8.18836762815181,-1503.52297647426,-1507.61716028833
300,0.215,0.825,0.200405987202933,5.98320583604936,-1886.28057057542,-1889.27217349344
350,0.215,0.825,0.130508112446698,7.10370931308171,-2139.75756348063,-2143.30941813717
400,0.215,0.825,0.270148867293612,5.17149935869747,-2489.474601621,-2492.06035130035
450,0.215,0.825,0.529764029181764,3.17016017872993,-2867.32979069442,-2868.91487078379
500,0.215,0.825,0.808715803729745,1.60042468693428,-3094.76963245917,-3095.56984480264
1000,0.215,0.825,0.264351730329425,5.2315664987018,-6228.65259283952,-6231.26837608887
2000,0.215,0.825,0.352516451854412,4.41688820429044,-12308.9319508835,-12311.1403949857
4000,0.215,0.825,0.564356561715578,2.96109777301899,-24798.8199959931,-24800.3005448796
5000,0.215,0.825,0.0402382572093482,10.011270621937,-31133.4918923256,-31138.4975276366
6000,0.215,0.825,0.0763227264621023,8.4530652094254,-37213.7683041502,-37217.9948367549
7000,0.215,0.825,0.0716576970309399,8.60877872986021,-43374.1623404152,-43378.4667297802
8000,0.215,0.825,0.264614622800366,5.2288183367782,-49677.4035524057,-49680.0179615741
50,0.215,0.825,0.751058379173341,1.91679880797631,-289.774171041473,-290.732570445462
60,0.215,0.825,0.191218340450571,6.10811524307474,-359.085623108892,-362.13968073043
70,0.215,0.825,0.00342257364240779,15.7175409304042,-411.390335273601,-419.249105738803
80,0.215,0.825,0.602753714304128,2.73701191797761,-501.86185092338,-503.230356882369
90,0.215,0.825,0.964085521198575,0.590754402113362,-567.681217445765,-567.976594646822
100,0.215,0.825,0.138456694753612,6.95181319714879,-642.666316509428,-646.142223108003
150,0.215,0.825,0.382090180175568,4.18079750700758,-921.014282802965,-923.104681556469
200,0.215,0.825,0.559311790515304,2.99112450350867,-1245.91947802941,-1247.41504028117
250,0.215,0.825,0.55117464108861,3.03987555276035,-1532.83325073225,-1534.35318850863
300,0.215,0.825,0.380093996574681,4.19627595072006,-1895.28791366452,-1897.38605163988
350,0.215,0.825,0.024750848988011,11.1669104045041,-2217.23137388184,-2222.8148290841
400,0.215,0.825,0.434592032725561,3.79407105047721,-2486.83988292325,-2488.73691844849
450,0.215,0.825,0.731055926041135,2.02556861335779,-2711.05584626634,-2712.06863057302
500,0.215,0.825,0.782856670767825,1.74319712748911,-3065.40669467962,-3066.27829324336
1000,0.215,0.825,0.365140968503326,4.3142751390933,-6127.23050498637,-6129.38764255592
2000,0.215,0.825,0.174617974353418,6.34807759797695,-12468.645274057,-12471.819312856
4000,0.215,0.825,0.103832793903886,7.68475939504424,-24698.7321877577,-24702.5745674552
5000,0.215,0.825,0.00804820722054085,13.7751950160309,-31191.2383191011,-31198.1259166091
6000,0.215,0.825,0.0437441520452843,9.81047382416727,-37244.2026031978,-37249.1078401099
7000,0.215,0.825,0.204894774776668,5.92402052874968,-43337.0003737804,-43339.9623840447
8000,0.215,0.825,0.837402856800549,1.43892144320125,-49307.3765355175,-49308.0959962391
50,0.215,0.825,0.883223616185546,1.16870592720556,-307.392486319015,-307.976839282618
60,0.215,0.825,0.134283926356407,7.03052420861775,-379.794154461271,-383.30941656558
70,0.215,0.825,0.886258644542527,1.15000941926019,-420.39128364737,-420.966288357
80,0.215,0.825,0.759461443416316,1.87104723382004,-475.448465978592,-476.383989595502
90,0.215,0.825,0.694760085893759,2.22333162983091,-569.801570440823,-570.913236255739
100,0.215,0.825,0.52471619955706,3.20132972827673,-599.944707785471,-601.545372649609
150,0.215,0.825,0.813693025333982,1.57268425600068,-935.222514333259,-936.008856461259
200,0.215,0.825,0.623125286826694,2.62089996022087,-1233.63970156256,-1234.95015154267
250,0.215,0.825,0.744582576025202,1.95202477115618,-1497.1045214268,-1498.08053381238
300,0.215,0.825,0.808202739857327,1.6032786401779,-1861.57110108367,-1862.37274040376
350,0.215,0.825,0.698864933598153,2.20089767498757,-2181.02291972583,-2182.12336856332
400,0.215,0.825,0.295774639550345,4.91838541589732,-2497.72456674162,-2500.18375944957
450,0.215,0.825,0.615379027584415,2.66485138248299,-2846.85749984013,-2848.18992553137
500,0.215,0.825,0.673957032859169,2.33746245810562,-3039.38682810885,-3040.55555933791
1000,0.215,0.825,0.0336103553893694,10.4416466589082,-6183.80538179969,-6189.02620512915
2000,0.215,0.825,0.0778276072059754,8.40474830256426,-12561.873763282,-12566.0761374333
4000,0.215,0.825,0.790956678597671,1.69868391618365,-24662.2866059491,-24663.1359479072
5000,0.215,0.825,0.000826571498848888,18.8885568959813,-31084.0179840553,-31093.4622625033
6000,0.215,0.825,0.456981207903228,3.6395348271908,-37342.2960057031,-37344.1157731167
7000,0.215,0.825,0.40877950619177,3.9795575330063,-43237.0915428602,-43239.0813216267
8000,0.215,0.825,0.258228323975922,5.29624847289233,-49284.3762716024,-49287.0243958388
50,0.215,0.825,0.0570054012346175,9.16925375976643,-290.16433620985,-294.748963089733
60,0.215,0.825,0.166681067213443,6.47014766242444,-330.808314761034,-334.043388592247
