"n","pmask","q","shape3","p.value","Lambda","loglik.F","loglik.R"
1000,0.215,0.825,0.25,2.03364254168091e-99,465.400268965554,-4537.15609099707,-4769.85622547985
1000,0.215,0.825,0.5,1.22415121661802e-34,165.021238485358,-5663.45407468535,-5745.96469392803
1000,0.215,0.825,0.75,5.994428610699e-10,48.9452495900805,-5926.76815127819,-5951.24077607323
1000,0.215,0.825,1,0.128648151029742,7.14047957089497,-6194.62684302004,-6198.19708280549
1000,0.215,0.825,1.1308,0.0242673799548761,11.2134153298812,-6255.76139080377,-6261.36809846871
1000,0.215,0.825,1.25,0.472204001138636,3.53746911762209,-6284.33285275975,-6286.10158731856
1000,0.215,0.825,1.5,0.233895192225139,5.5670860887858,-6300.40613008038,-6303.18967312478
1000,0.215,0.825,1.75,0.0347886685453513,10.3594794300188,-6206.18364634213,-6211.36338605714
1000,0.215,0.825,2,4.29509039098339e-05,25.341416659794,-6307.10201145015,-6319.77271978005
1000,0.215,0.825,2.25,0.150389722183521,6.73815394898702,-6241.31909503961,-6244.6881720141
1000,0.215,0.825,2.5,0.000185122991178574,22.1731728268351,-6288.16603645519,-6299.25262286861
1000,0.215,0.825,2.75,0.000531960551107164,19.8609961920683,-6376.57238567818,-6386.50288377421
1000,0.215,0.825,3,0.000240240108646244,21.6043074301888,-6230.9935864249,-6241.79574014
1000,0.215,0.825,0.25,1.43220046208413e-191,891.072121752257,-4561.90831627007,-5007.4443771462
1000,0.215,0.825,0.5,5.00141894859314e-27,129.491745492225,-5698.39500172035,-5763.14087446647
1000,0.215,0.825,0.75,7.38210466104448e-09,43.7066053994913,-6069.35093158884,-6091.20423428859
1000,0.215,0.825,1,0.0153968510579633,12.278383702087,-6021.69720601043,-6027.83639786147
1000,0.215,0.825,1.1308,0.148992409609563,6.76235484561585,-6114.20557106552,-6117.58674848833
1000,0.215,0.825,1.25,0.459524161761397,3.62232299684365,-6149.59038355423,-6151.40154505265
