"shape3","cv","maxmin_ratio","mean_shape"
0.25,0.422239920309762,5.0304,1.01094
0.5,0.297454040557405,2.5152,1.06094
0.75,0.18441597116998,1.6768,1.11094
1,0.0833186544779444,1.2576,1.16094
1.1308,0.0399806559271595,1.11213300318359,1.1871
1.25,0.034435146966739,1.08087666523421,1.21094
1.5,0.109664045555199,1.28921357971637,1.26094
1.75,0.189176920943446,1.5040825096691,1.31094
2,0.263793685801177,1.71895143962183,1.36094
2.25,0.3333892119295,1.93382036957456,1.41094
2.5,0.398330895098564,2.14868929952729,1.46094
2.75,0.459029479122387,2.36355822948002,1.51094
3,0.515870568732911,2.57842715943275,1.56094
