"m","n","p","q","p_value","Lambda","loglik_F","loglik_R","cv_shapes","maxmin_ratio","df_lrt","aic_F","aic_R","bic_F","bic_R"
2,100,0.215,0.825,0.215544995028935,1.53378684725271,-634.120631284133,-634.887524707759,0.0549657165004784,1.08087666523421,1,1276.24126256827,1275.77504941552,1286.66194331222,1283.59055997348
2,100,0.215,0.825,0.837190374528382,0.0422255802052405,-681.049766905864,-681.070879695966,0.0549657165004784,1.08087666523421,1,1370.09953381173,1368.14175939193,1380.52021455568,1375.9572699499
2,100,0.215,0.825,0.710833858592998,0.137445495638985,-669.708199129494,-669.776921877314,0.0549657165004784,1.08087666523421,1,1347.41639825899,1345.55384375463,1357.83707900294,1353.36935431259
2,100,0.215,0.825,0.931901742469272,0.00730211133713965,-635.083030831635,-635.086681887303,0.0549657165004784,1.08087666523421,1,1278.16606166327,1276.17336377461,1288.58674240722,1283.98887433257
2,100,0.215,0.825,0.810055366378777,0.0577703363612727,-609.689730091221,-609.718615259402,0.0549657165004784,1.08087666523421,1,1227.37946018244,1225.4372305188,1237.80014092639,1233.25274107677
2,100,0.215,0.825,0.859395111414805,0.0313800734083998,-604.58465296125,-604.600342997954,0.0549657165004784,1.08087666523421,1,1217.1693059225,1215.20068599591,1227.58998666645,1223.01619655387
2,100,0.215,0.825,0.0019464898615849,9.59932427051308,-649.486102430541,-654.285764565798,0.0549657165004784,1.08087666523421,1,1306.97220486108,1314.5715291316,1317.39288560503,1322.38703968956
2,100,0.215,0.825,0.334171971111606,0.932662729120466,-666.050597003347,-666.516928367907,0.0549657165004784,1.08087666523421,1,1340.10119400669,1339.03385673581,1350.52187475065,1346.84936729378
2,100,0.215,0.825,0.440252895526922,0.595623115623994,-629.42809293904,-629.725904496852,0.0549657165004784,1.08087666523421,1,1266.85618587808,1265.4518089937,1277.27686662203,1273.26731955167
2,100,0.215,0.825,0.610446773753458,0.259524855039217,-678.246259163937,-678.376021591457,0.0549657165004784,1.08087666523421,1,1364.49251832787,1362.75204318291,1374.91319907183,1370.56755374088
2,100,0.215,0.825,0.474434567128383,0.51162889897455,-631.304850264005,-631.560664713492,0.0549657165004784,1.08087666523421,1,1270.60970052801,1269.12132942698,1281.03038127196,1276.93683998495
2,100,0.215,0.825,0.942883306967193,0.00513320773188752,-672.742864621845,-672.745431225711,0.0549657165004784,1.08087666523421,1,1353.48572924369,1351.49086245142,1363.90640998764,1359.30637300939
2,100,0.215,0.825,0.792619086852513,0.0691222559112248,-643.131634946447,-643.166196074403,0.0549657165004784,1.08087666523421,1,1294.26326989289,1292.33239214881,1304.68395063685,1300.14790270677
2,100,0.215,0.825,0.187200447634785,1.73951376567902,-664.101514623746,-664.971271506585,0.0549657165004784,1.08087666523421,1,1336.20302924749,1335.94254301317,1346.62370999144,1343.75805357113
2,100,0.215,0.825,0.926965218300198,0.00840223870432055,-649.068307770085,-649.072508889437,0.0549657165004784,1.08087666523421,1,1306.13661554017,1304.14501777887,1316.55729628412,1311.96052833684
2,100,0.215,0.825,0.124595102293,2.35858570774099,-641.161495078141,-642.340787932012,0.0549657165004784,1.08087666523421,1,1290.32299015628,1290.68157586402,1300.74367090023,1298.49708642199
