m,n,reject_rate,n_reps,mean_lambda,sd_lambda,df_lrt,cv_shapes,aic_selects_full_rate,bic_selects_full_rate,se_reject,expected_lambda,ci_low,ci_high
2,100,0.074,500,1.1782600409545119,1.7354217777493641,1,0.0549657165004784,0.176,0.05,0.011706750189527408,1,0.05416087387750307,0.10033530111082659
2,500,0.126,500,1.6721383221679735,2.143347328411619,1,0.0549657165004784,0.284,0.064,0.01484075469779081,1,0.09973485690292784,0.1579683577581879
2,1000,0.216,500,2.232410370691403,2.470521171236546,1,0.0549657165004784,0.402,0.05,0.01840347793217358,1,0.18216716501825247,0.2541636183073006
2,5000,0.774,500,7.913458274481687,5.14792166978857,1,0.0549657165004784,0.906,0.374,0.01870422412183943,1,0.7353308968855181,0.8084908121595469
3,100,0.068,500,2.352367698907419,2.345863979626968,2,0.0556020899150645,0.196,0.018,0.011258419071965654,2,0.04906621332682857,0.09352145708387197
3,500,0.128,500,2.9806324452718638,2.8612762114721084,2,0.0556020899150645,0.278,0.012,0.014940950438308804,2,0.10152638796079462,0.1601463282261975
3,1000,0.186,500,3.6764712438688623,3.377664901455185,2,0.0556020899150645,0.346,0.018,0.017401379255679705,2,0.15433345489426237,0.22245480554314495
3,5000,0.72,500,9.571671231704372,5.7210764844532624,2,0.0556020899150645,0.838,0.096,0.020079840636817812,2,0.6790805551718125,0.75756461267459
4,100,0.048,500,3.174636252155231,2.437045036231197,3,0.0454629342828048,0.144,0.002,0.009559916317625379,3,0.03246497509125218,0.07042768006068446
4,500,0.088,500,3.481422395833355,2.785062208630591,3,0.0454629342828048,0.152,0.0,0.012669333052690659,3,0.06620563711739778,0.11607704855206659
4,1000,0.122,500,4.082445970203225,3.3316126602913467,3,0.0454629342828048,0.208,0.002,0.014636666287102402,3,0.0961588543796491,0.15360535722971383
4,5000,0.404,500,7.694108015201404,5.120331084231302,3,0.0454629342828048,0.54,0.006,0.021944657664224338,3,0.3618784697205358,0.44758545703739777
5,100,0.0783132530120482,498,4.2922194961731,3.063260992973373,4,0.0399806559271595,0.12248995983935743,0.0,0.012039116918368006,4,0.05781447764423325,0.10526805676503054
5,500,0.066,500,4.34608064177741,3.2250041797353,4,0.0399806559271595,0.122,0.002,0.011103512957618413,4,0.04737823802541255,0.09123993085941157
5,1000,0.096,500,4.9850336061914895,3.367462181220531,4,0.0399806559271595,0.158,0.0,0.013174520864152897,4,0.07317313790557156,0.12498755386739835
5,5000,0.3066132264529058,499,7.891614198621163,4.779924304426567,4,0.0399806559271595,0.40080160320641284,0.0,0.02064110515641656,4,0.2677618572960927,0.34841946103556476
6,100,0.10323886639676114,494,5.8236577186883,4.153069809074257,5,0.0387282819776761,0.12955465587044535,0.0020242914979757085,0.013689781855484575,5,0.07939745444062472,0.1332035013653987
6,500,0.076,500,5.385069517879868,3.432314236961812,5,0.0387282819776761,0.098,0.0,0.011851075900524812,5,0.05586871073410857,0.10259696578009747
6,1000,0.084,500,5.632012454462915,3.482912908587953,5,0.0387282819776761,0.124,0.0,0.012405160216619535,5,0.06274379952220428,0.11159988309550732
6,5000,0.264,500,8.469605706953866,4.746263069116007,5,0.0387282819776761,0.33,0.0,0.019713142824014644,5,0.22726719286500013,0.3043316270815863
7,100,0.08299595141700405,494,6.671929599884542,4.350911658775652,6,0.0372904762598114,0.0931174089068826,0.004048582995951417,0.012412252620379842,6,0.06176709856185799,0.1106604366220238
7,500,0.09,500,6.414400025618841,3.913206050016198,6,0.0372904762598114,0.102,0.0,0.012798437404620925,6,0.0679421955899675,0.11830999160537325
7,1000,0.08,500,6.6476065617923705,3.7498940897037274,6,0.0372904762598114,0.096,0.0,0.01213260071048248,6,0.05929780247392154,0.1071068770920373
7,5000,0.20841683366733466,499,9.069128848383532,4.7270598695119945,6,0.0372904762598114,0.23246492985971945,0.0,0.018182952283122097,6,0.17507245622716303,0.24621647452160553
8,100,0.08775510204081632,490,7.648269827705457,4.745889469508406,7,0.0348044213916122,0.08979591836734693,0.0020408163265306124,0.012781854493743429,7,0.0658019497250849,0.11612197081947838
8,500,0.0781563126252505,499,7.7019260707482395,4.3231378761072,7,0.0348044213916122,0.08016032064128256,0.0,0.012016013315411293,7,0.05769753863718514,0.10506067388938387
8,1000,0.06,500,7.220131930675583,3.743758377185838,7,0.0348044213916122,0.06,0.0,0.010620734437881401,7,0.042348086000950205,0.08436157830624476
8,5000,0.16,500,9.424813208748992,4.848561839528237,7,0.0348044213916122,0.162,0.0,0.016395121225535356,7,0.13047587742957925,0.19470886317143507
