"n","p","q","p_value","Lambda","loglik_F","loglik_R","cv_shapes","maxmin_ratio","aic_F","aic_R","bic_F","bic_R"
100,0.05,0.825,0.754489032925173,1.89812715295056,-689.689913683573,-690.638977260049,0.0399806559271595,1.11213300318359,1399.37982736715,1393.2779545201,1425.43152922703,1408.90897563603
100,0.05,0.825,0.664491737411815,2.38968729677322,-607.814064952943,-609.00890860133,0.0399806559271595,1.11213300318359,1235.62812990589,1230.01781720266,1261.67983176577,1245.64883831859
100,0.05,0.825,0.805230186964492,1.61979414963685,-611.308970583084,-612.118867657902,0.0399806559271595,1.11213300318359,1242.61794116617,1236.2377353158,1268.66964302605,1251.86875643173
100,0.05,0.825,0.522674387658384,3.213989388659,-663.135732638226,-664.742727332556,0.0399806559271595,1.11213300318359,1346.27146527645,1341.48545466511,1372.32316713633,1357.11647578104
100,0.05,0.825,0.816913378832272,1.55468035569288,-678.494957847229,-679.272298025075,0.0399806559271595,1.11213300318359,1376.98991569446,1370.54459605015,1403.04161755434,1386.17561716608
100,0.05,0.825,0.365464429877062,4.31168301033085,-667.754280448647,-669.910121953812,0.0399806559271595,1.11213300318359,1355.50856089729,1351.82024390762,1381.56026275717,1367.45126502355
100,0.05,0.825,0.472372083627262,3.53635485159884,-673.833884676025,-675.602062101824,0.0399806559271595,1.11213300318359,1367.66776935205,1363.20412420365,1393.71947121193,1378.83514531958
100,0.05,0.825,0.66291789514411,2.39839190421185,-649.113710100817,-650.312906052923,0.0399806559271595,1.11213300318359,1318.22742020163,1312.62581210585,1344.27912206151,1328.25683322177
100,0.05,0.825,0.919205755071326,0.936917016540974,-674.181333616747,-674.649792125017,0.0399806559271595,1.11213300318359,1368.36266723349,1361.29958425003,1394.41436909337,1376.93060536596
100,0.05,0.825,0.000630962318469262,19.4849388055895,-667.844641533024,-677.587110935818,0.0399806559271595,1.11213300318359,1355.68928306605,1367.17422187164,1381.74098492593,1382.80524298757
100,0.05,0.825,0.279565821962822,5.07622056151786,-657.751699700938,-660.289809981697,0.0399806559271595,1.11213300318359,1335.50339940188,1332.57961996339,1361.55510126176,1348.21064107932
100,0.05,0.825,0.483381504837298,3.46394641267716,-622.612032113953,-624.344005320292,0.0399806559271595,1.11213300318359,1265.22406422791,1260.68801064058,1291.27576608779,1276.31903175651
100,0.05,0.825,0.269992218842937,5.17310797901223,-649.299807577584,-651.88636156709,0.0399806559271595,1.11213300318359,1318.59961515517,1315.77272313418,1344.65131701505,1331.40374425011
100,0.05,0.825,0.264523384843746,5.22977183391004,-594.686273512409,-597.301159429364,0.0399806559271595,1.11213300318359,1209.37254702482,1206.60231885873,1235.4242488847,1222.23333997466
100,0.05,0.825,0.456397324144736,3.64349623247927,-651.01274082077,-652.83448893701,0.0399806559271595,1.11213300318359,1322.02548164154,1317.66897787402,1348.07718350142,1333.29999898995
100,0.05,0.825,0.122416751747316,7.26734833546357,-628.855095926106,-632.488770093838,0.0399806559271595,1.11213300318359,1277.71019185221,1276.97754018768,1303.76189371209,1292.6085613036
100,0.05,0.825,0.836195322294478,1.4458093980445,-618.649468277826,-619.372372976849,0.0399806559271595,1.11213300318359,1257.29893655565,1250.7447459537,1283.35063841553,1266.37576706963
100,0.05,0.825,0.277238550594268,5.0995114950756,-664.374424321401,-666.924180068939,0.0399806559271595,1.11213300318359,1348.7488486428,1345.84836013788,1374.80055050268,1361.47938125381
100,0.05,0.825,0.349432884230764,4.44239341711068,-613.921548876423,-616.142745584978,0.0399806559271595,1.11213300318359,1247.84309775285,1244.28549116996,1273.89479961273,1259.91651228589
100,0.05,0.825,0.999060779614353,0.087959711269832,-674.213642469031,-674.257622324666,0.0399806559271595,1.11213300318359,1368.42728493806,1360.51524464933,1394.47898679794,1376.14626576526
100,0.05,0.825,0.0128032386713176,12.7063831285432,-619.078473472943,-625.431665037214,0.0399806559271595,1.11213300318359,1258.15694694589,1262.86333007443,1284.20864880577,1278.49435119036
100,0.05,0.825,0.0209074785715484,11.5638132691713,-663.497698408895,-669.27960504348,0.0399806559271595,1.11213300318359,1346.99539681779,1350.55921008696,1373.04709867767,1366.19023120289
100,0.05,0.825,0.5553133376155,3.0150299173531,-671.065125389262,-672.572640347939,0.0399806559271595,1.11213300318359,1362.13025077852,1357.14528069588,1388.18195263841,1372.77630181181
100,0.05,0.825,0.619162116722266,2.64335719338965,-621.695030348487,-623.016708945182,0.0399806559271595,1.11213300318359,1263.39006069697,1258.03341789036,1289.44176255685,1273.66443900629
100,0.05,0.825,0.570663086420259,2.9237652895265,-659.929700743992,-661.391583388756,0.0399806559271595,1.11213300318359,1339.85940148798,1334.78316677751,1365.91110334787,1350.41418789344
100,0.05,0.825,0.675886514480039,2.32684147981422,-653.750468025301,-654.913888765208,0.0399806559271595,1.11213300318359,1327.5009360506,1321.82777753042,1353.55263791048,1337.45879864635
100,0.05,0.825,0.661993396088604,2.40350805214325,-614.410176182427,-615.611930208499,0.0399806559271595,1.11213300318359,1248.82035236485,1243.223860417,1274.87205422473,1258.85488153293
100,0.05,0.825,0.765103980311078,1.84028681322025,-654.210755008519,-655.13089841513,0.0399806559271595,1.11213300318359,1328.42151001704,1322.26179683026,1354.47321187692,1337.89281794619
100,0.05,0.825,0.483982905512782,3.46002304330091,-676.907269907119,-678.63728142877,0.0399806559271595,1.11213300318359,1373.81453981424,1369.27456285754,1399.86624167412,1384.90558397347
100,0.05,0.825,0.967595101946603,0.558184124011632,-652.320129016712,-652.599221078717,0.0399806559271595,1.11213300318359,1324.64025803342,1317.19844215743,1350.6919598933,1332.82946327336
100,0.05,0.825,0.390257018957024,4.11811231373963,-626.25571160486,-628.31476776173,0.0399806559271595,1.11213300318359,1272.51142320972,1268.62953552346,1298.5631250696,1284.26055663939
100,0.05,0.825,0.347697204251105,4.45682879874084,-643.617887396377,-645.846301795747,0.0399806559271595,1.11213300318359,1307.23577479275,1303.69260359149,1333.28747665263,1319.32362470742
100,0.05,0.825,0.3969136073026,4.06775690991617,-675.836780608133,-677.870659063091,0.0399806559271595,1.11213300318359,1371.67356121627,1367.74131812618,1397.72526307615,1383.37233924211
