p,n,reject_rate,n_reps,mean_lambda,sd_lambda,aic_selects_full_rate,bic_selects_full_rate,se_reject,ci_low,ci_high
0.05,100,0.06,500,4.107259778981581,3.074169950623522,0.098,0.004,0.010620734437881401,0.042348086000950205,0.08436157830624476
0.05,500,0.102,500,4.7690027453326955,3.456669997212621,0.162,0.0,0.013534843922262273,0.07843397139617729,0.1316352249544218
0.05,1000,0.12,500,5.1266919031386635,3.4222783815215374,0.21,0.0,0.014532721699667961,0.09437448030757052,0.15142022977591602
0.05,5000,0.482,500,9.7708600271022,5.403853660730779,0.59,0.002,0.022346185356789647,0.43850579699662956,0.5257686892704829
0.1,100,0.052,500,4.012058063255704,3.0100894062316907,0.08,0.006,0.00992935043192655,0.03573001990962654,0.07510163829406287
0.1,500,0.102,500,4.647272970214621,3.462934420589977,0.148,0.0,0.013534843922262273,0.07843397139617729,0.1316352249544218
0.1,1000,0.09819639278557114,499,5.132782284315179,3.351432142490508,0.17635270541082165,0.0,0.013321510715923133,0.07507533876450768,0.12745683041163047
0.1,5000,0.442,500,9.542701618430277,5.580577852508735,0.554,0.002,0.022209727598509622,0.39907517838464235,0.4858092773649425
0.15,100,0.0846774193548387,496,4.520121429826686,3.1061370281385328,0.1350806451612903,0.0020161290322580645,0.012500576922673787,0.06325479388215267,0.11248408019315438
0.15,500,0.06,500,4.354818762457539,3.0465255382176397,0.106,0.0,0.010620734437881401,0.042348086000950205,0.08436157830624476
0.15,1000,0.096,500,5.032868382933291,3.4219189731458344,0.17,0.0,0.013174520864152897,0.07317313790557156,0.12498755386739835
0.15,5000,0.35070140280561124,499,8.639319094474038,5.208083524502293,0.4729458917835671,0.0,0.021361940988523717,0.31011725730044104,0.3935667656602687
0.215,100,0.06666666666666667,495,4.238268009546412,2.9751542552691284,0.12121212121212122,0.0,0.011211666202433622,0.0478607883632704,0.09214678117383318
0.215,500,0.066,500,4.344770706149559,3.223955610626716,0.12,0.002,0.011103512957618413,0.04737823802541255,0.09123993085941157
0.215,1000,0.096,500,4.986620863174539,3.3682063957824244,0.158,0.0,0.013174520864152897,0.07317313790557156,0.12498755386739835
0.215,5000,0.3066132264529058,499,7.891530103547401,4.7804201647910425,0.40080160320641284,0.0,0.02064110515641656,0.2677618572960927,0.34841946103556476
0.3,100,0.08097165991902834,494,4.213946710157298,3.388531726613122,0.1214574898785425,0.006072874493927126,0.012273473767348206,0.06002491496476062,0.10838527815690699
0.3,500,0.062,500,4.318711030599321,3.0220640035760384,0.11,0.0,0.010784804124322332,0.04401893261361028,0.08666023321946106
0.3,1000,0.074,500,4.488596810277981,3.0777763372164655,0.122,0.0,0.011706750189527408,0.05416087387750307,0.10033530111082659
0.3,5000,0.262,500,7.159869235509512,4.647998279809848,0.358,0.0,0.01966499427917537,0.22537563309481617,0.30225368532589386
0.4,100,0.05432595573440644,497,4.199601919937669,3.4557616478396413,0.096579476861167,0.006036217303822937,0.01016707969839227,0.0376013116115463,0.07788749762474718
0.4,500,0.06212424849699399,499,4.467762284566681,3.1202119549593474,0.11623246492985972,0.002004008016032064,0.010805701219682764,0.04410784266249354,0.08683120454442012
0.4,1000,0.066,500,4.374561450617683,3.0870512784240627,0.11,0.0,0.011103512957618413,0.04737823802541255,0.09123993085941157
0.4,5000,0.184,500,6.2910907868418,3.9489172026444916,0.29,0.0,0.017328819925199752,0.15248894558374934,0.2203298133277816
0.5,100,0.05443548387096774,496,3.6259610166752445,3.0945853596794537,0.07862903225806452,0.004032258064516129,0.010186987862320205,0.037677664549866735,0.07804219550179764
0.5,500,0.04408817635270541,499,4.04824415421084,2.8296664866700945,0.09218436873747494,0.0,0.009190088877936113,0.029292680951395592,0.06584980527090582
0.5,1000,0.056,500,4.094341417899884,2.859967082897463,0.1,0.0,0.010282412168358162,0.03902536261505807,0.07974529864038413
0.5,5000,0.144,500,5.722123502827963,3.7183690718746374,0.234,0.0,0.01570121014444428,0.11593760751948218,0.177491120874521
0.6,100,0.04408817635270541,499,3.3485139211100985,3.2112590012099655,0.07014028056112225,0.004008016032064128,0.009190088877936113,0.029292680951395592,0.06584980527090582
0.6,500,0.04809619238476954,499,4.07041707156484,2.8118405707282035,0.09619238476953908,0.0,0.009578590507895692,0.032530460247020464,0.07056681730519476
0.6,1000,0.068,500,4.149030415684437,2.8940508865426318,0.096,0.0,0.011258419071965654,0.04906621332682857,0.09352145708387197
0.6,5000,0.1,500,4.9494154829062476,3.3458724291319757,0.156,0.0,0.01341640786499874,0.07667718662472012,0.1294225082000026
0.7,100,0.026156941649899398,497,2.6840020410322127,2.537658042693456,0.04426559356136821,0.0,0.007159122173044526,0.015348702604734386,0.044234207441076506
0.7,500,0.04208416833667335,499,3.5808981553536445,2.820280663555045,0.07615230460921844,0.0,0.008988201029107386,0.0276878015623351,0.0634772889950094
0.7,1000,0.032,500,3.513555491391718,2.5220922844894416,0.056,0.0,0.007870959280799261,0.01979134135128301,0.05134530159364255
0.7,5000,0.076,500,4.535418541021703,3.0627335643343874,0.118,0.0,0.011851075900524812,0.05586871073410857,0.10259696578009747
