"n","p","q","p_value","Lambda","loglik_F","loglik_R","cv_shapes","maxmin_ratio","pct_censored","aic_F","aic_R","bic_F","bic_R"
100,0.215,0.5,0.800771697649337,1.64450618525689,-402.73305561197,-403.555308704598,0.0399806559271595,1.11213300318359,0.47,825.46611122394,819.110617409197,851.517813083821,834.741638525125
100,0.215,0.5,0.548536784656595,3.05576643343829,-320.605519427664,-322.133402644383,0.0399806559271595,1.11213300318359,0.58,661.211038855328,656.266805288766,687.262740715209,671.897826404695
100,0.215,0.5,0.922446024572138,0.914675353540929,-399.60754661883,-400.0648842956,0.0399806559271595,1.11213300318359,0.47,819.21509323766,812.129768591201,845.266795097541,827.760789707129
100,0.215,0.5,0.468915544866248,3.55932381019829,-367.0948654029,-368.874527307999,0.0399806559271595,1.11213300318359,0.51,754.1897308058,749.749054615998,780.24143266568,765.380075731926
100,0.215,0.5,0.985477939634848,0.361870459281704,-356.994294055995,-357.175229285636,0.0399806559271595,1.11213300318359,0.53,733.98858811199,726.350458571272,760.040289971871,741.9814796872
100,0.215,0.5,0.318078401648896,4.71259019237914,-449.613310088832,-451.969605185022,0.0399806559271595,1.11213300318359,0.38,919.226620177664,915.939210370043,945.278322037545,931.570231485972
100,0.215,0.5,0.238541542918594,5.51354366669807,-366.30448792157,-369.061259754919,0.0399806559271595,1.11213300318359,0.52,752.608975843141,750.122519509839,778.660677703022,765.753540625767
100,0.215,0.5,0.793787818113834,1.68308552821361,-412.587174975111,-413.428717739217,0.0399806559271595,1.11213300318359,0.43,845.174349950221,838.857435478435,871.226051810102,854.488456594363
100,0.215,0.5,0.947159381767893,0.733302892767369,-360.540221657505,-360.906873103889,0.0399806559271595,1.11213300318359,0.52,741.080443315011,733.813746207778,767.132145174892,749.444767323707
100,0.215,0.5,0.000337729706837042,20.8589175866684,-411.849029165034,-422.278487958368,0.0399806559271595,1.11213300318359,0.44,843.698058330067,856.556975916736,869.749760189948,872.187997032664
100,0.215,0.5,0.990077553063974,0.295896049621319,-424.097143785063,-424.245091809873,0.0399806559271595,1.11213300318359,0.43,868.194287570125,860.490183619746,894.245989430006,876.121204735675
100,0.215,0.5,0.888187878930673,1.13805766738744,-354.251399150636,-354.82042798433,0.0399806559271595,1.11213300318359,0.53,728.502798301272,721.64085596866,754.554500161153,737.271877084588
100,0.215,0.5,0.268948659973709,5.18384457648176,-469.13560858159,-471.727530869831,0.0399806559271595,1.11213300318359,0.35,958.271217163181,955.455061739663,984.322919023062,971.086082855591
100,0.215,0.5,0.152898577510112,6.69521152796244,-370.619746678278,-373.967352442259,0.0399806559271595,1.11213300318359,0.51,761.239493356556,759.934704884518,787.291195216437,775.565726000447
100,0.215,0.5,0.176265893388058,6.32336132946887,-418.467298035725,-421.62897870046,0.0399806559271595,1.11213300318359,0.43,856.934596071451,855.257957400919,882.986297931331,870.888978516848
100,0.215,0.5,0.234109012932744,5.5646018897844,-304.11264345768,-306.894944402572,0.0399806559271595,1.11213300318359,0.61,628.22528691536,625.789888805144,654.276988775241,641.420909921073
100,0.215,0.5,0.644964332961956,2.49816542034114,-382.195802192381,-383.444884902551,0.0399806559271595,1.11213300318359,0.49,784.391604384761,778.889769805103,810.443306244642,794.520790921031
100,0.215,0.5,0.443040658721127,3.73510534156219,-370.395742820785,-372.263295491566,0.0399806559271595,1.11213300318359,0.5,760.79148564157,756.526590983132,786.843187501451,772.157612099061
100,0.215,0.5,0.480627671953751,3.48195338785627,-345.282556439194,-347.023533133122,0.0399806559271595,1.11213300318359,0.55,710.565112878387,706.047066266244,736.616814738268,721.678087382172
100,0.215,0.5,0.269664228113652,5.1764786831385,-398.744690155083,-401.332929496652,0.0399806559271595,1.11213300318359,0.45,817.489380310166,814.665858993304,843.541082170047,830.296880109233
100,0.215,0.5,0.0710617157519202,8.62935839029012,-378.091291152263,-382.405970347408,0.0399806559271595,1.11213300318359,0.49,776.182582304526,776.811940694816,802.234284164407,792.442961810745
100,0.215,0.5,0.066670774317371,8.78622196714684,-357.638989039984,-362.032100023557,0.0399806559271595,1.11213300318359,0.53,735.277978079967,736.064200047114,761.329679939848,751.695221163043
100,0.215,0.5,0.124248470756762,7.22944795673823,-450.686391525152,-454.301115503521,0.0399806559271595,1.11213300318359,0.38,921.372783050305,920.602231007043,947.424484910186,936.233252122971
100,0.215,0.5,0.389248696781948,4.12579701826701,-391.183764220073,-393.246662729206,0.0399806559271595,1.11213300318359,0.47,802.367528440146,798.493325458413,828.419230300027,814.124346574341
